-0.027243	-0.015771	-0.051079
-0.031737	-0.005598	-0.050610
-0.018508	-0.031546	-0.047563
-0.028671	-0.023666	-0.047095
-0.035602	-0.012590	-0.046626
-0.038332	0.000392	-0.046157
-0.014731	-0.038521	-0.043579
-0.027373	-0.031500	-0.043110
-0.036936	-0.020430	-0.042642
-0.042166	-0.006592	-0.042173
-0.042319	0.008361	-0.041704
-0.023780	-0.038777	-0.039126
-0.035951	-0.028515	-0.038657
-0.043923	-0.014575	-0.038188
-0.046640	0.001388	-0.037720
-0.018254	-0.045076	-0.035142
-0.032834	-0.036328	-0.034673
-0.043594	-0.023014	-0.034204
-0.049163	-0.006706	-0.033735
-0.048788	0.010632	-0.033267
-0.011163	-0.050046	-0.031157
-0.027805	-0.043418	-0.030688
-0.041232	-0.031412	-0.030220
-0.049764	-0.015442	-0.029751
-0.052306	0.002579	-0.029282
-0.048486	0.020466	-0.028813
-0.021135	-0.049398	-0.026704
-0.036956	-0.039319	-0.026235
-0.048403	-0.024357	-0.025767
-0.054040	-0.006300	-0.025298
-0.053132	0.012670	-0.024829
-0.013144	-0.053954	-0.022720
-0.030960	-0.046329	-0.022251
-0.045124	-0.033006	-0.021782
-0.053881	-0.015574	-0.021313
-0.056130	0.003866	-0.020845
-0.051554	0.022956	-0.020376
-0.004194	-0.056845	-0.018735
-0.023502	-0.052096	-0.018267
-0.040050	-0.040978	-0.017798
-0.051807	-0.024815	-0.017329
-0.057314	-0.005551	-0.016860
-0.055871	0.014481	-0.016392
-0.014896	-0.056339	-0.014282
-0.033383	-0.047904	-0.013813
-0.047879	-0.033608	-0.013345
-0.056604	-0.015171	-0.012876
-0.058475	0.005176	-0.012407
-0.053239	0.024962	-0.011938
-0.005499	-0.058853	-0.010298
-0.025388	-0.053468	-0.009829
-0.042244	-0.041568	-0.009360
-0.054005	-0.024584	-0.008892
-0.059230	-0.004572	-0.008423
-0.057266	0.016041	-0.007954
-0.016387	-0.057422	-0.005845
-0.035117	-0.048352	-0.005376
-0.049606	-0.033394	-0.004907
-0.058087	-0.014360	-0.004438
-0.059521	0.006441	-0.003970
-0.053726	0.026481	-0.003501
-0.006743	-0.059591	-0.001860
-0.026781	-0.053673	-0.001392
-0.043575	-0.041236	-0.000923
-0.055081	-0.023788	-0.000454
-0.059901	-0.003449	0.000015
-0.057447	0.017308	0.000483
-0.017572	-0.057311	0.002593
-0.036152	-0.047788	0.003062
-0.050330	-0.032472	0.003530
-0.058386	-0.013231	0.003999
-0.059349	0.007597	0.004468
-0.053109	0.027478	0.004937
-0.007861	-0.059118	0.006577
-0.027639	-0.052787	0.007046
-0.044027	-0.040064	0.007515
-0.055043	-0.022507	0.007983
-0.059359	-0.002257	0.008452
-0.056466	0.018221	0.008921
-0.018385	-0.056038	0.011030
-0.036438	-0.046261	0.011499
-0.050016	-0.030905	0.011968
-0.057488	-0.011853	0.012437
-0.057965	0.008572	0.012905
-0.051415	0.027886	0.013374
-0.008779	-0.057424	0.015015
-0.027885	-0.050820	0.015483
-0.043531	-0.038087	0.015952
-0.053832	-0.020796	0.016421
-0.057564	-0.001065	0.016890
-0.054304	0.018701	0.017358
-0.018741	-0.053570	0.019468
-0.035877	-0.043765	0.019937
-0.048569	-0.028717	0.020405
-0.055304	-0.010282	0.020874
-0.055302	0.009284	0.021343
-0.009410	-0.054419	0.023452
-0.027406	-0.047715	0.023921
-0.041953	-0.035285	0.024390
-0.051314	-0.018680	0.024858
-0.054392	0.000055	0.025327
-0.050866	0.018635	0.025796
-0.018515	-0.049785	0.027905
-0.034308	-0.040223	0.028374
-0.045803	-0.025888	0.028843
-0.051648	-0.008563	0.029312
-0.051191	0.009625	0.029780
-0.009635	-0.049902	0.031890
-0.026016	-0.043314	0.032358
-0.039060	-0.031571	0.032827
-0.047227	-0.016156	0.033296
-0.049587	0.001018	0.033765
-0.045929	0.017850	0.034233
-0.017511	-0.044414	0.036343
-0.031445	-0.035442	0.036812
-0.041371	-0.022330	0.037280
-0.046149	-0.006729	0.037749
-0.045282	0.009432	0.038218
-0.023385	-0.037267	0.040796
-0.034403	-0.026714	0.041265
-0.041052	-0.013155	0.041733
-0.042615	0.001707	0.042202
-0.015370	-0.036858	0.044780
-0.026720	-0.028958	0.045249
-0.034548	-0.017786	0.045718
-0.037999	-0.004785	0.046187
-0.018791	-0.028687	0.049233
-0.026944	-0.020092	0.049702
-0.031528	-0.009429	0.050171
